Sno,MatchID,Team1,Team2,Winner,Year,Ground,Runs,Fours,Sixes,MatchTime,Ha1,Ha2,T1w,T2w,T1b,Groundcapacity,AvgSR
7,703,Sri Lanka,England,England,2018,Colombo (RPS),330,27,18,night,1,0,1,0,0,35000,124.5285714
0,643,Afghanistan,Zimbabwe,Afghanistan,2018,Sharjah,212,19,11,night,0,1,1,0,0,16000,100.9477778
1,644,Afghanistan,Zimbabwe,Afghanistan,2018,Sharjah,278,24,12,night,0,1,0,1,1,16000,108.7927778
2,681,Zimbabwe,Pakistan,Pakistan,2018,Harare,276,13,13,day,0,1,1,0,0,10000,106.1817647
3,683,Zimbabwe,Australia,Australia,2018,Harare,339,31,17,day,0,1,1,0,0,10000,102.026
4,685,Zimbabwe,Pakistan,Pakistan,2018,Harare,315,26,9,day,0,1,0,1,1,10000,125.2436364
5,687,Zimbabwe,Australia,Australia,2018,Harare,284,18,11,day,0,1,1,0,1,10000,120.1388235
6,698,South Africa,Zimbabwe,South Africa,2018,East London,266,20,13,night,1,0,1,0,1,15000,106.2615789
7,699,South Africa,Zimbabwe,South Africa,2018,Potchefstroom,253,22,13,night,1,0,0,1,0,20000,125.8006667
0,592,India,England,England,2017,Kanpur,276,21,8,daynight,1,0,0,1,1,45000,123.145
1,593,India,England,India,2017,Nagpur,271,14,9,night,1,0,0,1,1,45000,116.7841176
2,594,India,England,India,2017,Bengaluru,308,22,18,night,1,0,0,1,1,40000,109.8338889
3,614,England,South Africa,England,2017,Southampton,276,20,11,night,1,0,0,1,0,6500,138.775
4,615,England,South Africa,South Africa,2017,Taunton,325,34,11,daynight,1,0,1,0,0,6500,144.8255556
5,616,England,South Africa,England,2017,Cardiff,317,27,14,day,1,0,0,1,1,5500,119.8484211
6,622,England,West Indies,West Indies,2017,Chester-le-Street,314,27,13,daynight,1,0,1,0,0,5000,109.5436364
0,596,Australia,Sri Lanka,Sri Lanka,2017,Melbourne,320,29,5,night,1,0,0,1,1,90000,129.972
1,597,Australia,Sri Lanka,Sri Lanka,2017,Geelong,334,28,12,night,1,0,0,1,1,20000,112.7457143
2,598,Australia,Sri Lanka,Australia,2017,Adelaide,316,26,13,night,1,0,0,1,1,50000,123.3126316
3,623,India,Australia,India,2017,Ranchi,163,18,3,night,1,0,1,0,0,20000,110.1307692
4,624,India,Australia,Australia,2017,Guwahati,228,19,7,night,1,0,0,1,1,40000,119.7246667
0,589,South Africa,Sri Lanka,South Africa,2017,Centurion,224,20,14,night,1,0,0,1,1,20000,121.7566667
1,590,South Africa,Sri Lanka,Sri Lanka,2017,Johannesburg,220,16,5,day,1,0,1,0,1,28000,110.012
2,591,South Africa,Sri Lanka,Sri Lanka,2017,Cape Town,327,29,10,night,1,0,1,0,1,25000,125.6078571
3,595,New Zealand,South Africa,South Africa,2017,Auckland,278,23,16,night,1,0,1,0,0,41000,132.7057895
4,614,England,South Africa,England,2017,Southampton,276,20,11,night,1,0,0,1,0,6500,138.775
5,615,England,South Africa,South Africa,2017,Taunton,325,34,11,daynight,1,0,1,0,0,6500,144.8255556
6,616,England,South Africa,England,2017,Cardiff,317,27,14,day,1,0,0,1,1,5500,119.8484211
7,626,South Africa,Bangladesh,South Africa,2017,Bloemfontein,346,30,11,night,1,0,1,0,1,20000,122.0611765
8,628,South Africa,Bangladesh,South Africa,2017,Potchefstroom,354,32,15,day,1,0,0,1,1,20000,129.9352941
0,602,West Indies,Pakistan,Pakistan,2017,Bridgetown,215,19,6,day,1,0,0,1,1,28000,111.0073333
1,603,West Indies,Pakistan,Pakistan,2017,Port of Spain,253,25,6,day,1,0,1,0,0,25000,118.48
2,604,West Indies,Pakistan,West Indies,2017,Port of Spain,258,19,13,day,1,0,0,1,0,25000,126.1066667
3,605,West Indies,Pakistan,Pakistan,2017,Port of Spain,244,16,12,day,1,0,0,1,1,25000,106.704
4,611,West Indies,Afghanistan,West Indies,2017,Basseterre,210,19,9,night,1,0,0,1,0,8000,114.3835294
